qid	lang	query	b_algo_count	own_domain_rank_top10	top10_domains	top3_quality_avg	intent_proxy
Q01	zh	亚孖酷奇是做什么的	10	N/A	www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,zhidao.baidu.com,www.zhihu.com,zhidao.baidu.com,www.zhihu.com,www.zhihu.com	1.00	0
Q02	zh	亚孖酷奇提供哪些小红书营销服务	10	N/A	www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,zhidao.baidu.com,www.zhihu.com,zhidao.baidu.com,www.zhihu.com,www.zhihu.com	1.00	0
Q03	zh	如何在中国市场做小红书品牌投放	10	N/A	www.zhihu.com,www.zhihu.com,www.zhihu.com,jingyan.baidu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com	1.00	0
Q04	zh	小红书企业号认证流程是什么	10	N/A	zhidao.baidu.com,zhidao.baidu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,zhidao.baidu.com,zhidao.baidu.com,zhidao.baidu.com,www.zhihu.com	1.67	0
Q05	zh	小红书信息流广告和搜索广告区别	10	N/A	zhidao.baidu.com,zhidao.baidu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,zhidao.baidu.com,zhidao.baidu.com,zhidao.baidu.com,www.zhihu.com	1.67	0
Q06	zh	小红书KOL KOC组合策略怎么做	10	N/A	zhidao.baidu.com,zhidao.baidu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,zhidao.baidu.com,zhidao.baidu.com,zhidao.baidu.com,www.zhihu.com	1.67	0
Q07	zh	出海品牌进入小红书的第一步是什么	10	N/A	www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com	1.00	0
Q08	zh	小红书营销代理商怎么选	10	N/A	zhidao.baidu.com,zhidao.baidu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,zhidao.baidu.com,zhidao.baidu.com,zhidao.baidu.com,www.zhihu.com	1.67	0
Q09	zh	亚孖酷奇是否提供数据分析报告	10	N/A	www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,zhidao.baidu.com,www.zhihu.com,zhidao.baidu.com,www.zhihu.com,www.zhihu.com	1.00	0
Q10	zh	小红书品牌专区广告适合哪些场景	10	N/A	zhidao.baidu.com,zhidao.baidu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,www.zhihu.com,zhidao.baidu.com,zhidao.baidu.com,zhidao.baidu.com,www.zhihu.com	1.67	0
Q11	en	What does YamaguchiTech do	10	N/A	www.merriam-webster.com,www.dictionary.com,www.oxfordlearnersdictionaries.com,dictionary.cambridge.org,www.collinsdictionary.com,www.sprachcaffe.com,www.wordreference.com,www.thefreedictionary.com,wiserread.com,eslteacher.org	2.00	0
Q12	en	What services does YamaguchiTech provide for Rednote marketing	10	N/A	www.tenforums.com,www.tenforums.com,www.tenforums.com,www.tenforums.com,www.tenforums.com,www.tenforums.com,www.tenforums.com,www.tenforums.com,www.tenforums.com,www.tenforums.com	2.00	0
Q13	en	How to launch a Rednote marketing campaign in China	10	N/A	www.spacelaunchschedule.com,spaceflightnow.com,www.launchtracker.space,www.spacex.com,www.nasaspaceflight.com,www.space.com,time2launch.org,rocketlaunch.org,nextspaceflight.com,www.floridatoday.com	2.00	0
Q14	en	What is the process for Rednote business account verification	10	N/A	www.processon.com,www.processon.com,www.processon.com,www.processon.com,www.processon.com,www.processon.com,www.processon.com,www.processon.com,www.processon.com,www.processon.com	2.00	0
Q15	en	Difference between Rednote feed ads and search ads	10	N/A	www.calculatorsoup.com,www.dictionary.com,dictionary.cambridge.org,www.thefreedictionary.com,www.collinsdictionary.com,en.wiktionary.org,www.wordreference.com,www.merriam-webster.com,www.oxfordlearnersdictionaries.com,www.britannica.com	2.00	0
Q16	en	How to choose a Rednote marketing agency	10	N/A	www.merriam-webster.com,www.thefreedictionary.com,dictionary.cambridge.org,www.collinsdictionary.com,www.wordreference.com,languagetool.org,www.dictionary.com,www.oxfordlearnersdictionaries.com,dictionary.cambridge.org,www.vocabulary.com	2.00	0
Q17	en	Does YamaguchiTech provide KOL KOC strategy	10	N/A	www.merriam-webster.com,www.dictionary.com,www.oxfordlearnersdictionaries.com,dictionary.cambridge.org,www.collinsdictionary.com,www.sprachcaffe.com,www.wordreference.com,www.thefreedictionary.com,wiserread.com,eslteacher.org	2.00	0
Q18	en	Best agency for Xiaohongshu marketing in China	10	N/A	ell.stackexchange.com,ell.stackexchange.com,ell.stackexchange.com,ell.stackexchange.com,ell.stackexchange.com,ell.stackexchange.com,ell.stackexchange.com,ell.stackexchange.com,ell.stackexchange.com,ell.stackexchange.com	2.00	0
Q19	en	How to improve brand awareness on Rednote	10	N/A	www.merriam-webster.com,dictionary.cambridge.org,www.collinsdictionary.com,www.wordreference.com,www.thefreedictionary.com,www.oxfordlearnersdictionaries.com,www.wordsmyth.net,www.powerthesaurus.org,www.britannica.com,www.ldoceonline.com	2.00	0
Q20	en	Does YamaguchiTech have case studies	10	N/A	www.merriam-webster.com,www.dictionary.com,www.oxfordlearnersdictionaries.com,dictionary.cambridge.org,www.collinsdictionary.com,www.sprachcaffe.com,www.wordreference.com,www.thefreedictionary.com,wiserread.com,eslteacher.org	2.00	0
