Q01	zh	亚孖酷奇是做什么的
Q02	zh	亚孖酷奇提供哪些小红书营销服务
Q03	zh	如何在中国市场做小红书品牌投放
Q04	zh	小红书企业号认证流程是什么
Q05	zh	小红书信息流广告和搜索广告区别
Q06	zh	小红书KOL KOC组合策略怎么做
Q07	zh	出海品牌进入小红书的第一步是什么
Q08	zh	小红书营销代理商怎么选
Q09	zh	亚孖酷奇是否提供数据分析报告
Q10	zh	小红书品牌专区广告适合哪些场景
Q11	en	What does YamaguchiTech do
Q12	en	What services does YamaguchiTech provide for Rednote marketing
Q13	en	How to launch a Rednote marketing campaign in China
Q14	en	What is the process for Rednote business account verification
Q15	en	Difference between Rednote feed ads and search ads
Q16	en	How to choose a Rednote marketing agency
Q17	en	Does YamaguchiTech provide KOL KOC strategy
Q18	en	Best agency for Xiaohongshu marketing in China
Q19	en	How to improve brand awareness on Rednote
Q20	en	Does YamaguchiTech have case studies
